Office,RaceDate,CensusPop,Area,ElectoralRepVotes,ElectoralDemVotes,ElectoralOtherVotes,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,OtherDetail,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,PopularRaceNotes,ElectoralRaceNotes
President,19761102,N/A,Alabama,0,9,0,"1,182,850","504,070","Ford, Gerald R. ",Incumbent,"659,170","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"19,610",,"155,100",D,42.61,55.73,.00,1.66,43.33,56.67,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Alaska,3,0,0,"123,574","71,555","Ford, Gerald R. ",Incumbent,"44,058","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"7,961",,"27,497",R,57.90,35.65,.00,6.44,61.89,38.11,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Arizona,6,0,0,"742,719","418,642","Ford, Gerald R. ",Incumbent,"295,602","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"28,475",,"123,040",R,56.37,39.80,.00,3.83,58.61,41.39,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Arkansas,0,6,0,"767,535","267,903","Ford, Gerald R. ",Incumbent,"498,604","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"1,028",,"230,701",D,34.90,64.96,.00,.13,34.95,65.05,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,California,45,0,0,"7,867,117","3,882,244","Ford, Gerald R. ",Incumbent,"3,742,284","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"242,589",,"139,960",R,49.35,47.57,.00,3.08,50.92,49.08,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Colorado,7,0,0,"1,081,554","584,367","Ford, Gerald R. ",Incumbent,"460,353","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"36,834",,"124,014",R,54.03,42.56,.00,3.41,55.94,44.06,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Connecticut,8,0,0,"1,381,526","719,261","Ford, Gerald R. ",Incumbent,"647,895","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"14,370",,"71,366",R,52.06,46.90,.00,1.04,52.61,47.39,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Delaware,0,3,0,"235,834","109,831","Ford, Gerald R. ",Incumbent,"122,596","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"3,407",,"12,765",D,46.57,51.98,.00,1.44,47.25,52.75,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,District of Columbia,0,3,0,"168,830","27,873","Ford, Gerald R. ",Incumbent,"137,818","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"3,139",,"109,945",D,16.51,81.63,.00,1.86,16.82,83.18,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,19761102,N/A,Florida,0,17,0,"3,150,631","1,469,531","Ford, Gerald R. ",Incumbent,"1,636,000","Carter, Jimmy  ",Challenger,N/A,N/A,N/A,N/A,"45,100",,"166,469",D,46.64,51.93,.00,1.43,47.32,52.68,,"In Kansas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
